求解函数 f(x1, x2) = 100(x2 - x1^2)^2 + (1 - x1)^2 的极小值
初始点: (0, 0)
收敛条件: 梯度范数 < 1.0E-4

最速下降法:
第62次迭代 f(x_i) = 0.239974958748786, x_1 = 0.512443737457169, x_2 = 0.257840591200679
第63次迭代 f(x_i) = 0.237711932566363, x_1 = 0.512442893059222, x_2 = 0.262597103001952
第64次迭代 f(x_i) = 0.235489812112128, x_1 = 0.516981376595946, x_2 = 0.262597676156581
第65次迭代 f(x_i) = 0.233307529151839, x_1 = 0.516980819097589, x_2 = 0.267268599836936
第66次迭代 f(x_i) = 0.231163705944007, x_1 = 0.521401406092884, x_2 = 0.267269119255252
第67次迭代 f(x_i) = 0.229057378813444, x_1 = 0.521400607211054, x_2 = 0.271857997415381
第68次迭代 f(x_i) = 0.226987242698512, x_1 = 0.525709040015838, x_2 = 0.271858533820470
第69次迭代 f(x_i) = 0.224952409786160, x_1 = 0.525708518150221, x_2 = 0.276368890167240
第70次迭代 f(x_i) = 0.222951730505321, x_1 = 0.529910669497142, x_2 = 0.276369382736774
第71次迭代 f(x_i) = 0.220984359535903, x_1 = 0.529910264425221, x_2 = 0.280804231551585
第72次迭代 f(x_i) = 0.219049275706775, x_1 = 0.534011619445427, x_2 = 0.280804804662280
第73次迭代 f(x_i) = 0.217145681231573, x_1 = 0.534011071796553, x_2 = 0.285167341316665
第74次迭代 f(x_i) = 0.215272595576194, x_1 = 0.538016198688934, x_2 = 0.285167756912790
第75次迭代 f(x_i) = 0.213429303725285, x_1 = 0.538015905341131, x_2 = 0.289460840349476
第76次迭代 f(x_i) = 0.211614922029544, x_1 = 0.541929431447424, x_2 = 0.289461072516016
第77次迭代 f(x_i) = 0.209828787402965, x_1 = 0.541929276854771, x_2 = 0.293687382535040
第78次迭代 f(x_i) = 0.208070055320595, x_1 = 0.545755327576373, x_2 = 0.293687347936929
第79次迭代 f(x_i) = 0.206338138133446, x_1 = 0.545755420359047, x_2 = 0.297849029862719
第80次迭代 f(x_i) = 0.204632284711680, x_1 = 0.549498226590008, x_2 = 0.297848987831708
第81次迭代 f(x_i) = 0.202951949589631, x_1 = 0.549498113666957, x_2 = 0.301948178685537
第82次迭代 f(x_i) = 0.201296375094336, x_1 = 0.553161216468513, x_2 = 0.301948177252833
第83次迭代 f(x_i) = 0.199665094178045, x_1 = 0.553160997485357, x_2 = 0.305986776658889
第84次迭代 f(x_i) = 0.198057416818240, x_1 = 0.556747648334535, x_2 = 0.305987027497278
第85次迭代 f(x_i) = 0.196472831814693, x_1 = 0.556747440159931, x_2 = 0.309967397178493
第86次迭代 f(x_i) = 0.194910747526582, x_1 = 0.560261007811038, x_2 = 0.309967646849276
第87次迭代 f(x_i) = 0.193370714420599, x_1 = 0.560260629017805, x_2 = 0.313891435936741
第88次迭代 f(x_i) = 0.191852155515513, x_1 = 0.563704033219003, x_2 = 0.313891856096268
第89次迭代 f(x_i) = 0.190354640897613, x_1 = 0.563703494327600, x_2 = 0.317761032304047
第90次迭代 f(x_i) = 0.188877615795053, x_1 = 0.567079501654484, x_2 = 0.317761494491336
第91次迭代 f(x_i) = 0.187420708480447, x_1 = 0.567078865838796, x_2 = 0.321577562450232
第92次迭代 f(x_i) = 0.185983418075910, x_1 = 0.570389945620965, x_2 = 0.321578233836679
第93次迭代 f(x_i) = 0.184565311628450, x_1 = 0.570389348823516, x_2 = 0.325343517651619
第94次迭代 f(x_i) = 0.183165915365823, x_1 = 0.573637918008942, x_2 = 0.325343889431069
第95次迭代 f(x_i) = 0.181784890896959, x_1 = 0.573637606177016, x_2 = 0.329059551011401
第96次迭代 f(x_i) = 0.180421854940537, x_1 = 0.576826437672018, x_2 = 0.329059964078659
第97次迭代 f(x_i) = 0.179076504602183, x_1 = 0.576825680729152, x_2 = 0.332726808416766
第98次迭代 f(x_i) = 0.177748394681211, x_1 = 0.579956674018221, x_2 = 0.332727591091886
第99次迭代 f(x_i) = 0.176437193373814, x_1 = 0.579955724637906, x_2 = 0.336347596847151
第100次迭代 f(x_i) = 0.175142485557536, x_1 = 0.583030878034360, x_2 = 0.336348362622518
第101次迭代 f(x_i) = 0.173863994197378, x_1 = 0.583029984194011, x_2 = 0.339922884824998
第102次迭代 f(x_i) = 0.172601353827774, x_1 = 0.586051154120195, x_2 = 0.339923665871068
第103次迭代 f(x_i) = 0.171354239630896, x_1 = 0.586050438426566, x_2 = 0.343454096293874
第104次迭代 f(x_i) = 0.170122383411353, x_1 = 0.589019714876608, x_2 = 0.343454828217041
第105次迭代 f(x_i) = 0.168905487848182, x_1 = 0.589018871804785, x_2 = 0.346942156308394
第106次迭代 f(x_i) = 0.167703242632776, x_1 = 0.591937851726748, x_2 = 0.346942920082955
第107次迭代 f(x_i) = 0.166515361550451, x_1 = 0.591937061872627, x_2 = 0.350388605977456
第108次迭代 f(x_i) = 0.165341548057759, x_1 = 0.594807268472534, x_2 = 0.350389224570036
第109次迭代 f(x_i) = 0.164181513839609, x_1 = 0.594806819144301, x_2 = 0.353794626272049
第110次迭代 f(x_i) = 0.163035032751077, x_1 = 0.597629993434001, x_2 = 0.353794992698440
第111次迭代 f(x_i) = 0.161901848890010, x_1 = 0.597629711750190, x_2 = 0.357160784768802
第112次迭代 f(x_i) = 0.160781754157366, x_1 = 0.600407431072619, x_2 = 0.357161121425387
第113次迭代 f(x_i) = 0.159674493114694, x_1 = 0.600407090780887, x_2 = 0.360488268468274
第114次迭代 f(x_i) = 0.158579817712044, x_1 = 0.603140758893866, x_2 = 0.360488546383325
第115次迭代 f(x_i) = 0.157497534686733, x_1 = 0.603140409373806, x_2 = 0.363777969458728
第116次迭代 f(x_i) = 0.156427382419104, x_1 = 0.605831312983052, x_2 = 0.363778229833511
第117次迭代 f(x_i) = 0.155369171123533, x_1 = 0.605831037368322, x_2 = 0.367030783239817
第118次迭代 f(x_i) = 0.154322701019939, x_1 = 0.608480560190318, x_2 = 0.367031094233562
第119次迭代 f(x_i) = 0.153287765676161, x_1 = 0.608480184860992, x_2 = 0.370247590594147
第120次迭代 f(x_i) = 0.152264158808343, x_1 = 0.611089436195725, x_2 = 0.370247953715962
第121次迭代 f(x_i) = 0.151251651834817, x_1 = 0.611089146697184, x_2 = 0.373429519863850
第122次迭代 f(x_i) = 0.150250086251886, x_1 = 0.613659436332934, x_2 = 0.373429801010995
第123次迭代 f(x_i) = 0.149259278601243, x_1 = 0.613659116081439, x_2 = 0.376577133018243
第124次迭代 f(x_i) = 0.148279028040466, x_1 = 0.616191445079267, x_2 = 0.376577380637780
第125次迭代 f(x_i) = 0.147309153515536, x_1 = 0.616191253992513, x_2 = 0.379691469234566
第126次迭代 f(x_i) = 0.146349482348284, x_1 = 0.618686670590022, x_2 = 0.379691594245827
第127次迭代 f(x_i) = 0.145399823930418, x_1 = 0.618686711574284, x_2 = 0.382773309132218
第128次迭代 f(x_i) = 0.144460044744070, x_1 = 0.621146595877645, x_2 = 0.382773269101711
第129次迭代 f(x_i) = 0.143530085255389, x_1 = 0.621146353804668, x_2 = 0.385822346850662
